VL,L,M,H,VH,Class
0,28,0,0,0,Nitrogen 
50,0,0,0,0,Nitrogen 
11,6,0,0,0,Nitrogen 
1,41,0,0,0,Nitrogen 
23,0,0,0,0,Nitrogen 
40,15,0,0,0,Nitrogen 
2,53,0,0,0,Nitrogen 
9,122,4,0,0,Nitrogen 
35,8,0,0,0,Nitrogen 
7,276,3,1,0,Nitrogen 
0,33,0,0,0,Nitrogen 
49,28,0,0,0,Nitrogen 
0,44,1,0,0,Nitrogen 
1,13,0,0,0,Nitrogen 
1,35,23,0,0,Nitrogen 
17,7,0,0,0,Nitrogen 
55,6,0,0,0,Nitrogen 
0,45,0,0,0,Nitrogen 
0,34,0,0,0,Nitrogen 
12,8,0,0,0,Nitrogen 
22,173,26,0,0,Nitrogen 
32,6,0,0,0,Nitrogen 
3,28,0,0,0,Nitrogen 
28,43,1,0,0,Nitrogen 
0,59,0,0,0,Nitrogen 
3,3,0,0,0,Nitrogen 
0,30,14,0,0,Nitrogen 
3,168,36,0,0,Nitrogen 
0,39,0,0,0,Nitrogen 
32,19,1,0,0,Nitrogen 
51,2,0,0,0,Nitrogen 
17,10,0,0,0,Nitrogen 
0,16,13,0,0,Nitrogen 
13,5,0,0,0,Nitrogen 
26,36,1,0,0,Nitrogen 
1,23,0,0,0,Nitrogen 
0,5,0,0,0,Nitrogen 
0,36,1,0,0,Nitrogen 
0,41,0,0,0,Nitrogen 
3,131,4,0,0,Nitrogen 
7,35,0,0,0,Nitrogen 
0,50,0,0,0,Nitrogen 
2,59,2,2,0,Nitrogen 
0,35,0,0,0,Nitrogen 
79,23,1,0,0,Nitrogen 
9,0,0,0,0,Nitrogen 
19,0,0,0,0,Nitrogen 
29,10,0,0,0,Nitrogen 
32,4,0,0,0,Nitrogen 
3,70,5,0,0,Nitrogen 
6,101,3,0,0,Nitrogen 
0,35,1,0,0,Nitrogen 
0,44,2,0,0,Nitrogen 
0,57,0,0,0,Nitrogen 
9,116,0,0,0,Nitrogen 
0,25,0,0,0,Nitrogen 
0,18,0,0,0,Nitrogen 
0,20,0,0,0,Nitrogen 
0,39,0,0,0,Nitrogen 
0,27,3,0,0,Nitrogen 
34,11,0,0,0,Nitrogen 
44,42,0,0,0,Nitrogen 
11,1,1,0,0,Nitrogen 
12,0,0,0,0,Nitrogen 
0,67,15,0,0,Nitrogen 
1,47,0,0,0,Nitrogen 
33,7,0,0,0,Nitrogen 
0,14,0,0,0,Nitrogen 
0,22,0,0,0,Nitrogen 
0,53,0,0,0,Nitrogen 
1,86,3,0,0,Nitrogen 
0,9,1,0,0,Nitrogen 
2,174,10,1,0,Nitrogen 
36,19,1,0,0,Nitrogen 
3,55,19,0,0,Nitrogen 
2,20,0,0,0,Nitrogen 
0,6,0,0,0,Nitrogen 
1,15,0,0,0,Nitrogen 
39,8,0,0,0,Nitrogen 
1,141,30,0,0,Nitrogen 
45,20,0,0,0,Nitrogen 
50,14,0,0,0,Nitrogen 
0,64,0,0,0,Nitrogen 
31,19,0,0,0,Nitrogen 
3,117,2,0,0,Nitrogen 
69,30,0,0,0,Nitrogen 
23,8,0,0,0,Nitrogen 
15,6,0,0,0,Nitrogen 
0,90,3,0,0,Nitrogen 
0,18,0,0,0,Nitrogen 
347,37,6,0,1,Nitrogen 
20,77,24,0,0,Nitrogen 
0,60,0,0,0,Nitrogen 
7,4,0,0,0,Nitrogen 
28,0,0,0,0,Phosporous 
30,18,2,0,0,Phosporous 
13,4,0,0,0,Phosporous 
39,0,2,0,1,Phosporous 
23,1,0,0,0,Phosporous 
51,4,0,0,0,Phosporous 
51,4,0,0,0,Phosporous 
87,33,15,0,0,Phosporous 
31,12,0,0,0,Phosporous 
208,29,46,0,4,Phosporous 
31,2,0,0,0,Phosporous 
