sufficient,Insufficient,Class
26,2,Cu
50,0,Cu
17,0,Cu
38,3,Cu
21,2,Cu
55,0,Cu
55,0,Cu
122,13,Cu
32,11,Cu
263,23,Cu
33,0,Cu
66,11,Cu
38,7,Cu
14,0,Cu
59,0,Cu
20,3,Cu
50,11,Cu
45,0,Cu
34,0,Cu
18,1,Cu
211,10,Cu
31,6,Cu
29,2,Cu
72,0,Cu
57,2,Cu
6,0,Cu
44,0,Cu
181,26,Cu
39,0,Cu
51,1,Cu
53,0,Cu
25,2,Cu
29,0,Cu
18,0,Cu
62,1,Cu
23,1,Cu
5,0,Cu
37,0,Cu
41,0,Cu
138,0,Cu
36,6,Cu
43,7,Cu
64,1,Cu
35,0,Cu
100,3,Cu
9,0,Cu
14,5,Cu
34,2,Cu
36,0,Cu
74,4,Cu
109,1,Cu
36,0,Cu
44,2,Cu
56,1,Cu
120,3,Cu
25,0,Cu
18,0,Cu
20,0,Cu
37,2,Cu
29,1,Cu
45,0,Cu
86,0,Cu
12,1,Cu
12,0,Cu
77,4,Cu
47,1,Cu
40,0,Cu
14,0,Cu
22,0,Cu
48,5,Cu
89,1,Cu
10,0,Cu
186,1,Cu
55,1,Cu
72,5,Cu
22,0,Cu
6,0,Cu
15,1,Cu
45,2,Cu
163,9,Cu
63,2,Cu
63,1,Cu
64,0,Cu
49,1,Cu
117,5,Cu
99,0,Cu
23,8,Cu
20,1,Cu
90,3,Cu
15,3,Cu
158,28,Cu
112,9,Cu
51,9,Cu
9,2,Cu
2,26,Fe
25,25,Fe
1,16,Fe
8,34,Fe
1,23,Fe
6,49,Fe
36,19,Fe
20,115,Fe
2,41,Fe
129,158,Fe
10,23,Fe
2,75,Fe
5,40,Fe
5,9,Fe
9,50,Fe
0,25,Fe
12,49,Fe
25,20,Fe
27,7,Fe
1,18,Fe
100,121,Fe
14,24,Fe
16,15,Fe
28,44,Fe
19,40,Fe
0,6,Fe
13,31,Fe
115,92,Fe
16,23,Fe
9,43,Fe
0,53,Fe
4,23,Fe
17,12,Fe
0,18,Fe
28,35,Fe
9,15,Fe
0,5,Fe
16,21,Fe
10,31,Fe
96,42,Fe
0,42,Fe
16,34,Fe
42,23,Fe
9,26,Fe
31,72,Fe
6,3,Fe
3,16,Fe
0,40,Fe
1,35,Fe
27,51,Fe
